,Post Office,Pin Code,Latitude,Longitude,City,VenueName,VenueLatitude,VenueLongitude,VenueCategory
37,Andheri (East),400069,19.1158835,72.854202,Mumbai,Bisleri Chaatwala,19.110538098443264,72.85406051188237,Food Truck
38,Andheri (East),400069,19.1158835,72.854202,Mumbai,Hotel Suba Galaxy,19.114408849516508,72.85185155189545,Hotel
39,Andheri (East),400069,19.1158835,72.854202,Mumbai,Landmark,19.116543216720547,72.85563454152596,Shopping Mall
40,Andheri (East),400069,19.1158835,72.854202,Mumbai,Canon India Pvt. Ltd.,19.116400070471503,72.8550430872612,Camera Store
41,Andheri (East),400069,19.1158835,72.854202,Mumbai,Regency,19.11381682204743,72.85281826610499,Chinese Restaurant
42,Andheri (East),400069,19.1158835,72.854202,Mumbai,Hare Rama Hare Krishna,19.115644148110952,72.85701795713408,Indian Restaurant
43,Andheri (East),400069,19.1158835,72.854202,Mumbai,Cigarette Factory,19.11794951126885,72.85558363517279,Smoke Shop
44,Andheri (East),400069,19.1158835,72.854202,Mumbai,mc donals andheri east,19.11512788078539,72.8514411790207,Fast Food Restaurant
45,Andheri (East),400069,19.1158835,72.854202,Mumbai,Corporate Bus Stop,19.115930719577673,72.85064498854149,Bus Station
46,Andheri (East),400069,19.1158835,72.854202,Mumbai,Hotel JK Regency,19.11960200372634,72.85575094737561,Hotel
47,Andheri (East),400069,19.1158835,72.854202,Mumbai,Pallavi Veg Restaurant,19.119039470371774,72.8510257756181,Vegetarian / Vegan Restaurant
48,Andheri (West),400058,19.1172495,72.833968,Mumbai,Tewari Bros Sweets,19.115304650035142,72.83450051026294,Indian Restaurant
49,Andheri (West),400058,19.1172495,72.833968,Mumbai,Tiwari Bros. Mithaiwala,19.115056269910802,72.8344956058685,Indian Restaurant
50,Andheri (West),400058,19.1172495,72.833968,Mumbai,Quench- All Day Pub,19.114537919350838,72.83620406918541,Pub
51,Andheri (West),400058,19.1172495,72.833968,Mumbai,Shree Gangour Sweets,19.115077614539207,72.8343658285862,Indian Restaurant
52,Andheri (West),400058,19.1172495,72.833968,Mumbai,Starbucks Coffee : A Tata Alliance,19.11456864288937,72.83620488457646,Coffee Shop
53,Andheri (West),400058,19.1172495,72.833968,Mumbai,The Bar Stock Exchange (Juhu),19.11543877672241,72.83472827153204,Pub
54,Andheri (West),400058,19.1172495,72.833968,Mumbai,Goa Bhavan,19.114482538665737,72.8312744131144,Indian Restaurant
55,Andheri (West),400058,19.1172495,72.833968,Mumbai,Jacky Bhel Puri,19.11363278970635,72.83470196944536,Indian Restaurant
56,Andheri (West),400058,19.1172495,72.833968,Mumbai,The Golconda Bowl,19.114441929871703,72.83614001858267,Indian Restaurant
57,Andheri (West),400058,19.1172495,72.833968,Mumbai,Gongurra,19.117780520064755,72.82936441128317,Vegetarian / Vegan Restaurant
58,Andheri (West),400058,19.1172495,72.833968,Mumbai,Powerhouse Gym,19.115929967213468,72.83015077063133,Gym / Fitness Center
59,Andheri (West),400058,19.1172495,72.833968,Mumbai,Cafe Grain & Bagel,19.114643689023122,72.83635188231077,Bagel Shop
60,Andheri (West),400058,19.1172495,72.833968,Mumbai,Aromas Cafe,19.11433209750968,72.8364604980849,Café
61,Andheri (West),400058,19.1172495,72.833968,Mumbai,The Club,19.12154882566184,72.83193204888225,Gym / Fitness Center
62,Andheri (West),400058,19.1172495,72.833968,Mumbai,Hawaiian Shack,19.11470912920257,72.83615818586792,Nightclub
63,Andheri (West),400058,19.1172495,72.833968,Mumbai,Coffee Di Bella Exclusive,19.115835,72.83374,Coffee Shop
64,Andheri (West),400058,19.1172495,72.833968,Mumbai,Mumbai tawa,19.12047276275382,72.82974982627766,Snack Place
65,Andheri (West),400058,19.1172495,72.833968,Mumbai,Pipes 'N Pegs,19.11484297544165,72.83603025067697,Restaurant
66,Andheri (West),400058,19.1172495,72.833968,Mumbai,Fat mans cafe & grill,19.114568737952574,72.8361684062261,Café
67,Andheri (West),400058,19.1172495,72.833968,Mumbai,Gelato Italiano,19.114631,72.83638,Ice Cream Shop
68,Andheri (West),400058,19.1172495,72.833968,Mumbai,+91 India calling,19.113820999999998,72.835615,Indian Restaurant
69,Andheri (West),400058,19.1172495,72.833968,Mumbai,Noble Chemist,19.114344039449122,72.83061820987709,Pharmacy
70,Antop Hill,400037,19.0207608,72.8652556,Mumbai,naaz supermarket,19.022164168183924,72.86328421578304,Grocery Store
71,Antop Hill,400037,19.0207608,72.8652556,Mumbai,Wadala Skywalk,19.018420714426526,72.86442217690924,Trail
72,Antop Hill,400037,19.0207608,72.8652556,Mumbai,Palkhi Restaurant,19.02216292606659,72.8630340987567,Indian Restaurant
73,Antop Hill,400037,19.0207608,72.8652556,Mumbai,Fame Neelyog,19.01974041543487,72.86255295606288,Multiplex
74,Antop Hill,400037,19.0207608,72.8652556,Mumbai,Chandu Halvai,19.01898572826238,72.86014717837175,Fast Food Restaurant
75,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Britannia & Co.,18.934683361330226,72.84018287062959,Parsi Restaurant
76,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Sher-E-Punjab,18.937943835353455,72.83785334602881,Indian Restaurant
77,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Café Universal,18.936020671277106,72.83745296372305,Irani Cafe
78,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,The Clearing House,18.935328221472208,72.8382632440215,Lounge
79,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Ballard Pier,18.934508822953653,72.84027696569358,Plaza
80,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,National Hindu,18.935087752479244,72.84037072412771,Indian Restaurant
81,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Kayani Restaurant,18.93503959620117,72.83694083917369,Irani Cafe
82,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Dakshin Bar And Kitchen,18.936489452301352,72.83748977150547,Seafood Restaurant
83,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Ideal Corner,18.934961470035773,72.83405011234706,Indian Restaurant
84,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Pancham Puriwala,18.938214278973145,72.8356970973557,Indian Restaurant
85,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Cafe Excelsior,18.93770120763569,72.8335661466234,Café
86,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,5 Spice,18.93349148407844,72.83595549719031,Chinese Restaurant
87,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Hotel Fountain Plaza,18.93567108713781,72.83402982832185,Indian Restaurant
88,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,The Royal Bombay Seamen's Club,18.93492891231947,72.83892568608033,Hostel
89,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Chhatrapati Shivaji Maharaj Terminus,18.940088330432037,72.83525722997862,Train Station
90,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Reserve Bank of India Monetary Museum,18.9341578243728,72.83609097485184,History Museum
91,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Model Cafe,18.936026566853357,72.84041814559212,Café
92,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,grand hotel,18.936234439993832,72.84072439577467,Hotel
93,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,The Tank,18.936096194771174,72.841107808521,Clothing Store
94,Ballard Estate,400038,18.9366512,72.83913249999998,Mumbai,Naval Dockyard,18.931887984987,72.83861527153245,Outdoors & Recreation
95,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Kung Food,19.06061846338391,72.85037612942018,Chinese Restaurant
96,Bandra (East),400051,19.0616565,72.8498111,Mumbai,MIG Cricket Club,19.05746061778177,72.84770643608499,Sports Club
97,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Saheb Restaurant and Bar,19.059720177704147,72.84696433105718,Indian Restaurant
98,Bandra (East),400051,19.0616565,72.8498111,Mumbai,MIG Club Cloud 9 Bar,19.05741651561692,72.84770514534125,Bar
99,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Sadichha,19.05812852590663,72.84769991017198,Indian Restaurant
100,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Domino's Pizza,19.06131144304001,72.84940800336409,Pizza Place
101,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Chinar lounge,19.06084478701893,72.85011108676964,Indian Restaurant
102,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Cafe Coffee Day,19.060823671195273,72.84665822740081,Café
103,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Chinar Restuarant,19.060671141289504,72.8499468773504,Indian Restaurant
104,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Hotel Amey,19.05745662172428,72.84768636800327,Restaurant
105,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Mumbai cricket association,19.06164329351998,72.84664091859914,General Entertainment
106,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Aquanox,19.059104811861733,72.8519488933254,Restaurant
107,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Maratha Darbar,19.057548368198784,72.84767367494184,Indian Restaurant
108,Bandra (East),400051,19.0616565,72.8498111,Mumbai,Fitness First Platinum,19.05882685132332,72.85416170573114,Gym
109,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,XVII Tea Room,19.05952567663164,72.82924728335746,Café
110,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Almeida Park,19.057656373506948,72.83154140498996,Park
111,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,St. Andrew's Auditorium,19.056678114839823,72.82867021824461,College Auditorium
112,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Indigo Deli,19.06171028998035,72.82997150211035,Deli / Bodega
113,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Mac Craig,19.061541991030687,72.82889362096834,Bakery
114,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Suzette,19.061525902486576,72.82908067105699,French Restaurant
115,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Nature's Basket,19.05553322824323,72.83177797317528,Gourmet Shop
116,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Godrej Nature's Basket,19.055509463847304,72.83193507717596,Gourmet Shop
117,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Punjab Sweet House And Restaurant,19.06255314675695,72.82942295777715,Indian Restaurant
118,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Pali Bhavan,19.06208863111207,72.8294592044777,Indian Restaurant
119,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Candies,19.06117622318717,72.82663421803241,Bakery
120,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Toto’s Garage,19.062401412096985,72.82984348227363,Pub
121,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Pali Village Café,19.062056,72.82950600000001,Café
122,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Hearsch Bakery,19.055119886795797,72.82700605766848,Bakery
123,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Wok Express,19.062319585064927,72.82955517194749,Chinese Restaurant
124,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Karachi sweets n chaat,19.05512351190259,72.83149909194437,Snack Place
125,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,iThinkFitness,19.061040067814886,72.83260804253739,Gym / Fitness Center
126,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Ray’s Café and Pizzeria,19.05499246355498,72.82835358154533,Pizza Place
127,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,La Folie,19.05503331878837,72.8292600602837,Bakery
128,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Watson gym,19.05968424855457,72.83238129968099,Gym / Fitness Center
129,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Soul Fry,19.06273857286659,72.82809408684619,Seafood Restaurant
130,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Kitchen Garden by Suzette,19.06154546724086,72.82926199440713,Salad Place
131,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,IMBISS Meating Joint,19.053815652610094,72.82985059681968,German Restaurant
132,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Jai Hind Lunch Home,19.063020178888646,72.82939367421633,Seafood Restaurant
133,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,The Bandra Project,19.060332065434352,72.82947223889559,Italian Restaurant
134,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Chocolateria San Churro,19.061917933615774,72.83447969968148,Dessert Shop
135,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,145 Bandra,19.060330410154513,72.82957059346954,Café
136,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Bandra Gymkhana,19.05872552303537,72.82614832149801,Event Space
137,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Golconda Bowl,19.05597652181028,72.83418851936942,Indian Restaurant
138,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,A Chocolate Affair,19.06271542030084,72.82935210803004,Arcade
139,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Pali Market,19.062740864838272,72.82833555711356,Farmers Market
140,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Gold's Gym,19.061459407502827,72.82928534077077,Gym / Fitness Center
141,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Mamagoto,19.054876495307813,72.82839535179241,Asian Restaurant
142,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Starbucks,19.059957999999998,72.8322,Coffee Shop
143,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Gondola's,19.06272486255789,72.82817685484879,Restaurant
144,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Lemon Leaf,19.05954194549837,72.82961746242358,Asian Restaurant
145,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Sahibaan,19.059373680497693,72.82958191919478,Indian Restaurant
146,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Elco Chat Corner,19.055762166881596,72.83321593299348,Indian Restaurant
147,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Pagal Pan Bhandar,19.059495052319786,72.82961952038279,Smoke Shop
148,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,The Irish House,19.061574849912915,72.82950646240819,Pub
149,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Yacht Bar & Restaurant,19.055232326889726,72.83080995082854,Bar
150,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Elco Veg Restaurant,19.055791372778774,72.83325257128638,Snack Place
151,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Title Waves,19.061019244447017,72.83255049308454,Bookstore
152,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Birdsong Café,19.0542831698684,72.82751633003814,Café
153,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Chéron,19.05525395405788,72.83064520513383,Café
154,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Natural Ice Cream,19.055038089975508,72.82673846912485,Ice Cream Shop
155,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Di Bella Coffee,19.061036194214445,72.83252619915119,Café
156,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Poco Loco,19.06241109124964,72.82969146875122,Spanish Restaurant
157,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,"Di Bella Coffee - Title Waves, Bandra",19.06102929328065,72.83252103451943,Coffee Shop
158,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Hakkasan,19.06059419166468,72.8344281872202,Asian Restaurant
159,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Barbeque Nation,19.056236459180184,72.8341671323342,BBQ Joint
160,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Santé,19.054995849437468,72.8282757562969,Bar
161,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Janata Bar,19.063047000912935,72.82938597471085,Bar
162,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Five Spice Restraunt,19.059549917140483,72.83069437357736,Arcade
163,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,A-1 Bakery,19.054723825158238,72.82633684687082,Bakery
164,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Janta Bar,19.063076976375054,72.82941090308013,Bar
165,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Royalty Club,19.060503417809443,72.834705434666,Nightclub
166,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Fendi Boutique,19.055853227491234,72.83252998919797,Clothing Store
167,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Cafe Coffee Day,19.059539,72.829368,Café
168,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,BuSaGo,19.061527376175988,72.82918125153506,Asian Restaurant
169,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Trios,19.055567666495755,72.83215301982818,Women's Store
170,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,American Express Bakery,19.05479504313943,72.82677376045608,Bakery
171,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Le Rêve (Globus Cinema),19.056014292525585,72.8339514796647,Indie Movie Theater
172,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Eat Around The Corner,19.062372743279774,72.83260659109774,Sandwich Place
173,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Cuckoo Club by The Hive,19.06122261734749,72.82652758921921,Comedy Club
174,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Jai Hind,19.05606490713528,72.83488535462942,Seafood Restaurant
175,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Sigdi Restaurant,19.06157054743932,72.83327085793891,Indian Restaurant
176,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Mama Mia,19.055767118543354,72.83452920697165,Pizza Place
177,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Sweetish House Mafia,19.060654934053144,72.82960846121969,Dessert Shop
178,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Crossword,19.059502583962285,72.83166238044917,Bookstore
179,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,D'Monte Park Recreation Centre,19.059629587422016,72.82599507232584,Event Space
180,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Jim-me's Kitchen,19.054068584589526,72.83071115332166,Chinese Restaurant
181,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Papa Pancho Da Dhaba,19.061518297415603,72.82913209464668,Indian Restaurant
182,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Amrut Sagar,19.05544460785434,72.83238029477091,Vegetarian / Vegan Restaurant
183,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Tiffins,19.05935174253765,72.82956009138826,Chinese Restaurant
184,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Jam Jar Diner Bandra,19.054906113408148,72.82848361870806,Café
185,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Temptations,19.05611506394953,72.8341389892493,Pub
186,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Ground Zero,19.054807662963867,72.82814025878906,Bar
187,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Cocoa Café Ristorante,19.05490504997565,72.82822208261473,Mediterranean Restaurant
188,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,"Tavaa, bandra west",19.05962600361791,72.83223994526399,Indian Restaurant
189,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Shiv Sagar,19.062414674369343,72.83070540066156,Indian Restaurant
190,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,McDonald's,19.054657000000002,72.82826,Fast Food Restaurant
191,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Grand Residency,19.061726094843575,72.83268207872672,Hotel
192,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Balaji Restaurant,19.055208711005275,72.83063852168182,Indian Restaurant
193,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Hunger Pangs,19.055373140073005,72.83164909989173,Burger Joint
194,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Bagelwala!,19.06046392990376,72.83177560983479,Bagel Shop
195,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Snack Shack,19.06257935264589,72.82943551697308,Fast Food Restaurant
196,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,shree sagar veg restaurant,19.062440352351015,72.83077506599527,Indian Restaurant
197,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Tea Villa Cafe,19.055932112826472,72.8339731720253,Café
198,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Marks & Spencer,19.056053291744014,72.8340624055062,Men's Store
199,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Kaitlyn's Beer Garden,19.054848104352995,72.8282215192153,Beer Garden
200,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Yoko Sizzlers,19.056027870357056,72.83470705998697,Steakhouse
201,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Globus,19.055865494464214,72.83375128909813,Clothing Store
202,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Venky's XPRS,19.05998879356203,72.83407954403754,Fried Chicken Joint
203,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,KFC Restaurant,19.05609362256192,72.83410730931328,Fried Chicken Joint
204,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Stomach,19.05966573132982,72.83417975077823,Chinese Restaurant
205,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Cafe Andora,19.05725953075036,72.82764790205937,Café
206,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Elco Arcade Shopping Centre,19.056095380184104,72.83321193748864,Shopping Mall
207,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Five Spice,19.06251068232204,72.82950964986381,Chinese Restaurant
208,Bandra (West),400050,19.0583358,72.83026690000001,Mumbai,Decent Collection,19.05567640061715,72.83243574692372,Electronics Store
209,Bangur Nagar,400090,19.1688142,72.8336777,Mumbai,Mad Over Donuts,19.173075095778774,72.83568481546911,Donut Shop
210,Bangur Nagar,400090,19.1688142,72.8336777,Mumbai,HyperCITY,19.171223859349798,72.83538248683948,Department Store
211,Bangur Nagar,400090,19.1688142,72.8336777,Mumbai,Natural's Ice Cream,19.173182138794544,72.83574507204591,Ice Cream Shop
212,Bangur Nagar,400090,19.1688142,72.8336777,Mumbai,Made in Punjab,19.17310154028343,72.83569165899783,Indian Restaurant
213,Bangur Nagar,400090,19.1688142,72.8336777,Mumbai,Indigo Deli,19.17307464160996,72.83571773733065,Deli / Bodega
214,Bangur Nagar,400090,19.1688142,72.8336777,Mumbai,Inox Cinemas,19.173099432367607,72.83573231176841,Multiplex
215,Bangur Nagar,400090,19.1688142,72.8336777,Mumbai,INOX,19.173140824695253,72.8357102638752,Multiplex
216,Bangur Nagar,400090,19.1688142,72.8336777,Mumbai,Inorbit Mall,19.17306538569318,72.83575461186564,Shopping Mall
