,Post Office,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
142,Mulund (West),19.1719717,72.95119559999998,Food Plaza,19.173095,72.94958100000002,Chinese Restaurant
143,Nariman Point,18.9259514,72.8232083,Food Court,18.923886,72.824297,Fast Food Restaurant
144,Nehru Nagar,19.0010485,72.8194265,Sangam Fast Food - Chinese Corner,19.00169333514836,72.82213619139216,Fast Food Restaurant
145,Parel,19.0094817,72.8376614,BBC Good Food Kitchen,19.012817663779405,72.83626118539638,Restaurant
146,Prabhadevi,19.0148811,72.8279556,kamath veg food,19.01614133075291,72.82937189093376,Indian Restaurant
147,Rajawadi,19.07853645,72.90019463836587,Food Court,19.077058792114254,72.90322875976562,Fast Food Restaurant
148,SEEPZ,19.125355600000002,72.8751701719707,lucky fast food,19.122095,72.871489,Fast Food Restaurant
149,Sahar,19.0995955,72.867284,street food,19.099713147387,72.86896824637451,Café
150,Saki Naka,19.1082208,72.88358240000002,The Food Bar,19.106255274247296,72.88457307524783,Deli / Bodega
151,Santacruz (West),19.084877,72.83497270000002,Food Inn,19.084446934468208,72.8296113462097,Indian Restaurant
152,Santacruz P&T Colony,19.0923132,72.8446354,Food Truck Square,19.095682800686454,72.84626012465046,Food Truck
153,Shivaji Nagar (Kurla),19.1141005,72.86228990000002,Banarasi Fast Food & Milk Centre,19.11416410349732,72.86194141771543,Fast Food Restaurant
154,Telecom Factory Deonar,19.046900450000006,72.91846239254782,Foodlink kitchen,19.045990380578967,72.91501832790065,Indian Restaurant
155,Tilak Nagar,19.0692377,72.8978464,Achija Fast Food Vikrant Circle,19.071224084968158,72.89632939181415,Indian Restaurant
156,Tulsiwadi,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
157,Vikhroli,19.1114795,72.928021,Food Castle,19.111288,72.92747800000002,Burger Joint
158,Vile Parle (East),19.0962884,72.84837990000003,The Good Food Co.,19.098453349622396,72.84576866155109,Café
159,Vile Parle (West),19.1038725,72.84029029999998,Shreenath Fast Food (Misal/Usal + Chaas Special),19.102843300000004,72.8403731,Breakfast Spot
160,Worli,19.0116962,72.81807020000002,T V Inds Estate Food Stall,19.00925411493525,72.82039936081209,Comfort Food Restaurant
161,Belapur,19.01898695,73.03909472408442,Sai Sanjog Fast Food,19.01985025793773,73.03714084002222,Fast Food Restaurant
162,Vashi,19.075713,73.0003541,Food Court,19.073297924378256,73.00083016276781,Food Court
163,Boisar,19.2091438,72.8591832,Mahavir Dry Foods,19.20906163857337,72.86307218552311,Dessert Shop
164,Manor,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
165,Mira,19.282057100000006,72.8741437,Swagatham Family Resto Bar - Kerala food,19.28316009722685,72.87894276164938,Indian Restaurant
166,Mira Road,19.1878962,72.8365955,Bikaji Food Junxon,19.18702986611455,72.83566112058648,Asian Restaurant
167,Naupada,19.083579,72.88865190000001,Food Court,19.08663669505661,72.88987993177808,Food Court
168,Nirmal,18.92732875,72.82219717183933,Food Court,18.923886,72.824297,Fast Food Restaurant
169,Thane (East),19.0308262,73.0198537,Roadside A Food Joint,19.032658,73.01957,Fast Food Restaurant
170,Bhavani Shankar Road,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
171,Mumbai G P O,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
172,Council Hall,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
173,N I T I E,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
174,Rajbhavan,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
175,Veer Jijamata Bhosle Udyan,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
176,Vidyanagari,19.109091600000006,72.8607705,Vailankanni Food Corner,19.108659,72.858932,Chinese Restaurant
177,JNPT Town Ship,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
178,Ganeshpuri,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
179,Jakegram,19.13261205,72.93201331422414,Soma's fast food,19.130142211914066,72.93409729003906,Restaurant
180,Kopri Colony,19.13261205,72.93201331422414,Soma's fast food,19.130142211914066,72.93409729003906,Restaurant
181,Papdi,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
182,Vasai Road East,18.9387711,72.8353355,"Refresh Food Plaza, CST",18.940723147463906,72.83540147670111,Snack Place
183,B A R C,19.0167,72.85,Pritam Food Express,19.01655853825347,72.84617358048803,Snack Place
184,August Kranti Marg,18.963548899999996,72.8099885,Hotel Royal Castle,18.963494147358944,72.81000120034291,Hotel
185,Andheri (East),19.1158835,72.854202,Residency Hotel,19.117391960724774,72.85585225771871,Hotel
186,Andheri (West),19.1172495,72.833968,Hotel Capitol,19.11438123535968,72.8358226766422,Hotel
187,Ballard Estate,18.9366512,72.83913249999998,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
188,Bandra (East),19.0616565,72.8498111,Aaram Hotel,19.06002892305405,72.85051345825195,Motel
189,Bandra (West),19.058335800000002,72.83026690000001,Hotel AB's,19.062234,72.829734,Hotel
190,Bhandup,19.1438684,72.9384327,Hotel Pride,19.146659237174486,72.9370567065264,Hotel
191,Mumbai Central,18.9695855,72.8193152,Hotel crystal,18.96880340576172,72.82056427001953,Bed & Breakfast
192,Borivli HO,19.2314681,72.8405735,The Grandeur Hotel,19.234772,72.8406,Hotel
193,Chakala MIDC,19.115287300000002,72.8618085,Hotel Tunga International,19.117857580329467,72.86515943512828,Hotel
194,Chembur,19.0612128,72.89759090000003,Hotel Jewel of Chembur,19.061669790956667,72.89957121902684,Hotel
195,Colaba,18.915091,72.8259691,Hotel Amber,18.915184,72.82522,Hotel
196,Cumballa Hill,18.9693073,72.8065375,The Shalimar Hotel,18.97230594895198,72.80629953888322,Hotel
197,Dadar,19.019282,72.8428757,hotel vivekand,19.015898,72.843591,Boarding House
198,Delisle Road,18.993260199999998,72.8310115,Hotel Hiramani,18.99262169249852,72.8363073441667,Bed & Breakfast
199,Dharavi,19.044463,72.8586177,Pritam Hotel,19.04386614648181,72.85966832768345,Hotel
200,F C I Mumbai,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
201,Ghatkopar (West),19.0897194,72.90459720000001,Hotel Asiad,19.089365,72.9082,Hotel
202,Girgaon,18.9543165,72.8179082,Hotel Sun City,18.956577,72.81926,Hotel
203,Grant Road,18.9644472,72.81357270000002,Krishna Palace Residency Hotel,18.962266372456128,72.81395955048289,Hotel
204,Hutatma Chowk,18.9341699,72.83252,Residency Hotel,18.93497786680689,72.83348094090624,Hotel
205,I I T Mumbai,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
206,J B Nagar,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
207,Jogeshwari (West),19.136394,72.83738170000002,Orritel West Hotel,19.139227864629547,72.83416672199436,Hotel
208,Juhu,19.1070215,72.8275275,Four Season Hotel,19.109548332331627,72.8264554540797,Hotel
209,Kalbadevi,18.9492575,72.82793819999998,Hotel HEREDIA,18.947214126586914,72.827880859375,Boarding House
210,Khar,19.069658399999998,72.8398944,Oriental Residency Hotel,19.067779435272325,72.8364363642781,Hotel
211,Mahim,19.0423145,72.8398344,Hotel Mahim Palace,19.037408,72.841367,Hotel
212,Malad (West),19.1840129,72.8412155,Sampoorna Hotel,19.183714466934532,72.83590922448512,Hotel
213,Mandvi,18.9550564,72.83479190000001,Hotel Residency Park,18.953255,72.83532,Hotel
214,Mantralaya,18.92766235,72.82703930367538,Astoria Hotel,18.932056781865295,72.82715005071401,Hotel
215,Marine Lines,18.9456701,72.82378100000003,Hotel shardha,18.946774181602336,72.82693116456842,Hotel
216,Motilal Nagar,19.1589951,72.84019707773173,Hotel Iris Premiere,19.15823966002036,72.84441961215758,Hotel
217,Nariman Point,18.9259514,72.8232083,Taj President Hotel - Suites,18.928066401722816,72.82049745456223,Resort
218,Prabhadevi,19.0148811,72.8279556,Kohinoor Park Hotel,19.01754064940261,72.83046819034126,Hotel
219,SEEPZ,19.125355600000002,72.8751701719707,The Urban pod Hotel,19.127065323556547,72.87253439426422,Hotel
220,Sahar,19.0995955,72.867284,Grand Maratha Sheraton Towers Hotel Mumbai,19.101792985482952,72.86485486486309,Hotel
221,Saki Naka,19.1082208,72.88358240000002,Hotel Metro International,19.108475100000003,72.8864036,Hotel
222,Santacruz (East),19.0815223,72.84175649999997,Galaxy Hotel,19.08451735976385,72.84487541435486,Hotel
223,Santacruz (West),19.084877,72.83497270000002,Hotel Cruz Royale,19.082512,72.83799499999998,Hotel
224,Santacruz P&T Colony,19.0923132,72.8446354,Hotel Midland,19.088193,72.843696,Hotel
225,Shivaji Nagar (Kurla),19.1141005,72.86228990000002,Hotel Star Of Mumbai,19.11250927637937,72.86460102135727,Hostel
226,Sion,19.046521300000002,72.8632834,Hotel Shanghrila,19.04463195800781,72.86515808105469,Boarding House
227,Telecom Factory Deonar,19.046900450000006,72.91846239254782,Hotel Metro Plaza,19.051228897846038,72.91840409953504,Hotel
228,Tulsiwadi,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
229,Vile Parle (East),19.0962884,72.84837990000003,Ibis Hotel,19.096605847243953,72.85323481822087,Hotel
230,Vile Parle (West),19.1038725,72.84029029999998,Hotel Parle International,19.10125049967249,72.84495898108379,Hotel
231,Worli,19.0116962,72.81807020000002,Hiltop Hotel Worli,19.011301150735022,72.81779697695785,Hotel
232,Belapur,19.01898695,73.03909472408442,Hotel Setrac Orange,19.0152,73.04149,Hotel
233,Ghansoli,19.1193307,72.9995096,Hotel Shiv Prasad,19.118270000000006,73.00431999999998,Hotel
234,Vashi,19.075713,73.0003541,Hotel Celebrations,19.077794687902294,73.00287127436795,Hotel
235,Manor,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
236,Mira,19.282057100000006,72.8741437,G.C.C Hotel,19.28343523538189,72.87876392781376,Resort
237,Mira Road,19.1878962,72.8365955,Hotel Landmark,19.187570062912624,72.83555726306552,Hotel
238,Naupada,19.083579,72.88865190000001,Kohinoor Elite Hotel,19.080861466981442,72.88543819207703,Hotel
239,Nirmal,18.92732875,72.82219717183933,Taj President Hotel - Suites,18.928066401722816,72.82049745456223,Resort
240,Bhavani Shankar Road,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
241,Mumbai G P O,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
242,Council Hall,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
243,N I T I E,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
244,Rajbhavan,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
245,Veer Jijamata Bhosle Udyan,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
246,Vidyanagari,19.109091600000006,72.8607705,Hotel Oriental Aster,19.107942690669464,72.86160103249473,Hotel
247,Airoli Mode,19.17297875,73.00353220000002,Mango Hotel,19.16942,73.001724,Hotel
248,JNPT Town Ship,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
249,Nerul Mode,19.047375,73.0193,Hotel Pratiksha Residency,19.045503,73.023519,Hotel
250,Ganeshpuri,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
251,Papdi,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
252,Vasai Road East,18.9387711,72.8353355,Hotel Traveller’s Inn,18.936039028552536,72.83799995101162,Bed & Breakfast
253,B A R C,19.0167,72.85,Hotel City Point,19.017194957416013,72.84818716668546,Hotel
